,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over
573,1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",12,10,36,18,0,52,4,0,9,7,11,0,269,31,44,11,35,0,12,12,29,36,33,0,26,293,25,13,0,46,19,18,0,42,44,56,7,23
574,1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",50,0,26,40,0,38,9,41,153,95,4,54,382,54,0,4,5,0,12,0,34,131,61,26,55,501,48,0,51,0,0,16,0,20,154,73,58,81
1044,1400000US26005030800,"Census Tract 308, Allegan County, Michigan",15,2,9,13,8,0,13,18,17,7,14,50,297,32,8,0,0,10,0,0,74,26,45,36,66,477,16,0,17,0,46,0,0,105,24,79,48,142
575,1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",0,5,6,10,5,5,12,0,17,21,0,29,200,14,5,14,19,10,28,0,0,45,4,0,61,293,0,0,6,41,14,36,0,0,53,31,13,99
576,1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",0,1,0,11,0,4,0,0,1,0,0,10,120,0,0,5,4,14,11,0,0,24,29,11,22,179,10,0,2,5,10,7,0,0,81,22,21,21
1558,1400000US26005031000,"Census Tract 310, Allegan County, Michigan",83,98,4,30,39,0,48,13,131,49,0,0,529,119,111,4,23,98,0,13,0,104,22,30,5,671,32,24,31,0,87,186,13,23,181,19,47,28
1046,1400000US26005031100,"Census Tract 311, Allegan County, Michigan",9,35,0,45,7,32,0,9,98,93,12,95,328,0,40,9,4,0,27,0,0,87,73,46,42,322,9,10,0,0,21,19,0,0,80,140,0,43
1045,1400000US26005031200,"Census Tract 312, Allegan County, Michigan",0,0,0,108,17,50,44,13,33,23,0,33,682,0,55,27,112,40,48,51,87,99,111,35,17,489,43,42,21,28,21,68,26,20,142,54,24,0
1041,1400000US26005031300,"Census Tract 313, Allegan County, Michigan",26,15,2,6,2,32,30,0,76,73,18,13,368,38,7,4,12,12,18,14,21,66,112,30,34,434,38,11,18,12,33,25,13,6,111,78,59,30
1559,1400000US26005031800,"Census Tract 318, Allegan County, Michigan",20,0,9,0,11,0,30,7,73,84,8,21,344,0,11,11,0,22,0,29,0,87,43,55,86,404,22,22,11,13,25,0,0,0,82,50,34,145
1038,1400000US26005031900,"Census Tract 319, Allegan County, Michigan",69,15,8,27,7,23,9,41,52,87,43,0,354,11,0,9,31,0,62,5,15,48,39,72,62,488,0,24,0,17,75,35,0,43,122,46,10,116
1039,1400000US26005032000,"Census Tract 320, Allegan County, Michigan",0,55,65,0,0,24,0,0,75,22,61,34,680,83,0,220,0,0,78,0,22,121,119,37,0,232,40,0,0,0,0,0,0,25,48,43,76,0
1040,1400000US26005032100,"Census Tract 321, Allegan County, Michigan",23,10,10,6,53,9,0,6,90,72,17,8,439,0,0,0,7,29,10,0,14,192,94,16,77,374,31,0,0,8,15,43,7,8,98,61,18,85
577,1400000US26005032200,"Census Tract 322, Allegan County, Michigan",158,114,0,0,14,0,0,0,29,15,23,39,297,48,52,0,45,55,0,0,0,42,26,0,29,621,18,0,0,36,102,109,0,23,169,89,11,64
578,1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",0,28,8,9,56,38,0,4,58,21,5,0,278,30,33,7,0,18,6,0,5,114,51,14,0,95,0,5,6,7,0,0,0,6,57,14,0,0
579,1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",36,0,16,0,0,44,16,0,57,37,10,25,305,31,0,11,5,0,9,9,24,86,65,15,50,339,90,0,12,5,6,0,15,35,54,70,4,48
580,1400000US26005032600,"Census Tract 326, Allegan County, Michigan",11,0,0,6,0,6,0,14,19,0,4,0,57,0,0,0,0,0,5,0,7,31,7,7,0,30,0,0,0,0,0,3,0,0,5,0,22,0
581,1400000US26005990000,"Census Tract 9900, Allegan County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1784,1400000US26007000100,"Census Tract 1, Alpena County, Michigan",0,34,20,103,12,11,4,10,58,52,48,25,247,15,0,17,27,8,12,30,4,51,52,22,9,297,44,3,6,22,11,14,6,14,74,75,14,14
1787,1400000US26007000200,"Census Tract 2, Alpena County, Michigan",17,6,0,30,0,42,0,30,25,68,9,22,206,3,0,0,12,0,46,0,27,69,23,4,22,370,0,3,4,30,9,34,15,18,120,81,43,13
1786,1400000US26007000300,"Census Tract 3, Alpena County, Michigan",0,0,0,26,0,0,0,4,19,30,9,5,263,0,41,0,26,0,47,0,0,40,32,34,43,204,0,8,6,0,0,9,0,20,76,9,39,37
1783,1400000US26007000400,"Census Tract 4, Alpena County, Michigan",50,0,33,14,0,41,6,0,10,16,0,0,157,19,50,9,4,15,10,0,9,25,0,0,16,224,22,43,0,4,35,41,0,11,37,13,18,0
1789,1400000US26007000500,"Census Tract 5, Alpena County, Michigan",39,0,19,0,0,0,6,0,31,0,0,0,115,39,13,5,0,32,4,5,0,10,0,0,7,137,0,0,11,0,63,4,9,0,22,16,5,7
1791,1400000US26007000600,"Census Tract 6, Alpena County, Michigan",0,9,9,0,0,0,0,0,0,40,44,0,96,0,0,0,0,0,0,7,0,34,26,8,21,280,1,0,6,0,24,0,8,9,39,133,43,17
1785,1400000US26007000700,"Census Tract 7, Alpena County, Michigan",0,0,13,0,0,15,0,0,0,0,0,26,153,12,0,0,21,0,12,0,0,19,0,22,67,189,12,0,0,41,22,0,0,0,46,0,26,42
1790,1400000US26007000800,"Census Tract 8, Alpena County, Michigan",55,0,0,0,0,46,0,0,45,52,39,34,190,41,0,9,0,0,20,0,37,28,13,42,0,176,47,19,17,0,0,0,0,19,37,8,19,10
1788,1400000US26007000900,"Census Tract 9, Alpena County, Michigan",8,18,0,34,3,0,0,12,6,11,0,0,223,7,15,19,62,4,14,0,22,35,14,3,28,204,33,0,20,17,0,0,5,0,47,14,54,14
582,1400000US26007990000,"Census Tract 9900, Alpena County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,1400000US26009960100,"Census Tract 9601, Antrim County, Michigan",0,2,25,0,0,6,0,0,11,20,2,7,144,0,2,24,0,12,0,0,0,71,3,21,11,200,10,0,21,0,10,21,3,13,52,8,30,32
343,1400000US26009960200,"Census Tract 9602, Antrim County, Michigan",16,14,4,12,11,5,7,11,14,21,23,4,251,44,10,8,32,29,9,2,6,37,36,32,6,282,35,25,12,16,24,0,7,29,38,34,31,31
345,1400000US26009960300,"Census Tract 9603, Antrim County, Michigan",2,14,3,5,20,0,0,0,19,32,0,0,136,3,6,7,0,7,22,0,4,43,41,0,3,159,0,1,6,0,9,25,0,21,35,46,8,8
2498,1400000US26009960400,"Census Tract 9604, Antrim County, Michigan",0,4,33,9,23,12,0,21,24,20,20,3,142,0,6,19,8,0,6,0,3,44,22,12,22,193,4,16,3,6,0,0,0,0,70,27,30,37
344,1400000US26009960500,"Census Tract 9605, Antrim County, Michigan",6,3,1,49,22,5,0,0,17,35,0,5,193,7,0,3,31,8,24,0,7,31,45,8,29,234,32,0,2,41,11,11,0,11,39,19,23,45
2499,1400000US26009960600,"Census Tract 9606, Antrim County, Michigan",0,0,12,0,11,16,0,0,25,42,53,6,121,0,29,13,0,16,7,7,0,12,21,13,3,189,15,0,0,10,8,10,7,13,53,21,7,45
2501,1400000US26009960700,"Census Tract 9607, Antrim County, Michigan",36,69,16,27,81,10,13,0,89,11,22,0,389,46,21,13,54,52,12,10,20,58,103,0,0,353,58,0,21,35,13,21,9,4,52,87,5,48
583,1400000US26009990000,"Census Tract 9900, Antrim County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,1400000US26011970100,"Census Tract 9701, Arenac County, Michigan",10,28,4,6,12,16,1,3,10,6,4,0,102,16,13,5,10,8,21,0,3,10,6,10,0,129,15,18,2,13,9,9,8,13,22,14,0,6
454,1400000US26011970200,"Census Tract 9702, Arenac County, Michigan",24,13,9,25,9,8,0,0,48,13,4,23,164,25,9,4,0,0,2,3,8,51,7,17,38,246,13,36,10,12,4,22,3,12,40,42,23,29
458,1400000US26011970300,"Census Tract 9703, Arenac County, Michigan",19,14,43,22,13,9,14,6,22,22,5,3,185,24,5,11,16,4,33,6,4,52,21,5,4,167,12,8,15,12,10,18,3,0,29,37,14,9
456,1400000US26011970400,"Census Tract 9704, Arenac County, Michigan",7,15,4,3,18,2,0,14,8,17,10,11,136,25,8,14,8,10,3,6,2,22,20,9,9,135,7,8,6,5,5,9,8,6,53,20,0,8
455,1400000US26011970500,"Census Tract 9705, Arenac County, Michigan",51,29,11,18,13,8,6,14,12,21,13,10,322,22,39,27,25,32,23,7,6,54,37,16,34,311,40,16,47,4,26,5,8,12,76,57,3,17
584,1400000US26011990000,"Census Tract 9900, Arenac County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1400000US26011990100,"Census Tract 9901, Arenac County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,1400000US26013000100,"Census Tract 1, Baraga County, Michigan",40,19,17,0,0,5,0,3,47,15,8,3,282,58,23,0,16,8,7,35,0,57,24,47,7,350,40,3,22,18,24,46,0,15,40,47,48,47
478,1400000US26013000200,"Census Tract 2, Baraga County, Michigan",42,9,11,10,0,19,23,12,59,14,26,3,219,32,13,10,10,17,8,9,8,42,30,30,10,215,28,1,5,3,7,0,6,7,67,31,23,37
479,1400000US26013990100,"Census Tract 9901, Baraga County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,1400000US26015010100,"Census Tract 101, Barry County, Michigan",48,31,13,31,51,50,0,25,70,52,22,5,441,32,56,31,22,18,31,0,37,55,66,25,68,529,68,50,35,24,38,10,0,2,145,58,43,56
464,1400000US26015010200,"Census Tract 102, Barry County, Michigan",17,20,9,32,54,12,16,30,88,80,70,46,404,8,11,34,27,28,17,8,25,140,41,32,33,484,13,6,15,39,55,28,37,0,113,89,31,58
465,1400000US26015010300,"Census Tract 103, Barry County, Michigan",19,0,27,0,17,11,43,47,180,25,64,9,835,0,0,0,0,182,76,18,71,304,24,94,66,916,8,0,0,0,116,106,0,115,216,73,127,155
135,1400000US26015010401,"Census Tract 104.01, Barry County, Michigan",0,0,0,0,7,8,0,0,53,43,14,9,272,22,18,0,0,0,38,0,0,78,79,37,0,239,66,0,0,0,19,51,0,0,47,17,8,31
153,1400000US26015010402,"Census Tract 104.02, Barry County, Michigan",24,0,20,12,0,18,0,0,55,29,44,61,239,50,0,10,0,0,0,15,13,47,10,56,38,370,92,0,23,23,0,0,0,26,32,67,45,62
462,1400000US26015010500,"Census Tract 105, Barry County, Michigan",0,0,0,9,73,0,0,0,53,45,0,35,212,0,0,0,10,8,14,0,31,76,42,0,31,187,47,0,0,0,22,13,0,0,40,55,0,10
466,1400000US26015010600,"Census Tract 106, Barry County, Michigan",0,0,0,18,39,0,0,47,76,152,0,13,416,16,0,0,52,52,0,19,28,84,121,44,0,418,0,0,0,64,0,0,47,24,110,155,18,0
463,1400000US26015010700,"Census Tract 107, Barry County, Michigan",4,40,0,18,10,0,0,25,93,45,35,10,330,7,0,5,4,29,10,0,31,77,126,41,0,421,3,20,16,0,9,22,0,24,44,65,121,97
461,1400000US26015010800,"Census Tract 108, Barry County, Michigan",24,29,8,35,36,0,0,4,43,37,0,35,228,10,11,6,39,0,5,10,15,29,41,26,36,247,4,3,3,19,8,13,0,13,58,63,43,20
512,1400000US26015011300,"Census Tract 113, Barry County, Michigan",28,66,94,16,57,107,0,25,104,90,11,4,631,0,68,11,12,57,86,23,4,196,131,13,30,608,15,0,0,6,18,31,88,4,136,94,93,123
459,1400000US26015011400,"Census Tract 114, Barry County, Michigan",0,0,0,53,48,0,0,0,146,101,60,26,558,0,0,0,73,15,0,0,0,205,64,55,146,353,0,5,0,31,28,0,0,0,60,76,50,103
221,1400000US26017280300,"Census Tract 2803, Bay County, Michigan",64,35,29,10,0,0,0,0,0,0,0,0,51,0,22,23,0,0,0,0,0,0,0,6,0,135,22,0,7,0,0,9,0,0,5,68,24,0
233,1400000US26017280400,"Census Tract 2804, Bay County, Michigan",35,14,0,49,0,10,0,0,50,12,46,17,211,52,28,0,9,0,0,12,7,26,9,68,0,168,26,16,0,28,0,0,14,25,59,0,0,0
237,1400000US26017280500,"Census Tract 2805, Bay County, Michigan",0,0,0,14,0,0,26,14,11,36,0,7,321,8,0,27,7,0,37,51,0,49,74,43,25,220,18,0,7,8,0,21,0,0,81,32,37,16
217,1400000US26017280600,"Census Tract 2806, Bay County, Michigan",38,0,13,0,26,0,0,0,18,29,25,8,272,17,43,28,19,30,0,0,23,7,105,0,0,265,43,72,17,28,26,0,0,9,18,30,22,0
227,1400000US26017280700,"Census Tract 2807, Bay County, Michigan",59,0,20,8,6,32,24,41,0,0,15,0,300,37,0,45,16,23,52,41,46,19,9,12,0,295,82,52,12,0,0,36,27,27,50,9,0,0
224,1400000US26017280800,"Census Tract 2808, Bay County, Michigan",15,8,34,7,0,0,0,0,54,8,0,13,244,47,8,12,18,23,24,0,0,78,0,21,13,338,59,47,67,10,0,10,0,0,53,28,51,13
235,1400000US26017280900,"Census Tract 2809, Bay County, Michigan",26,75,24,0,10,11,0,0,16,16,0,0,284,96,42,13,6,35,11,0,0,49,32,0,0,240,0,24,0,12,11,41,0,0,61,9,82,0
238,1400000US26017281000,"Census Tract 2810, Bay County, Michigan",61,51,17,30,0,0,0,7,44,20,28,7,284,29,75,0,34,0,44,0,6,72,0,24,0,311,33,19,34,63,0,30,0,0,71,26,35,0
218,1400000US26017281300,"Census Tract 2813, Bay County, Michigan",45,20,0,24,19,0,12,12,38,21,0,0,273,29,30,0,73,21,35,0,39,36,10,0,0,150,20,0,0,0,35,48,0,0,47,0,0,0
230,1400000US26017285100,"Census Tract 2851, Bay County, Michigan",43,6,0,9,6,28,8,0,24,41,11,21,278,27,0,35,9,8,9,8,10,124,33,15,0,292,46,6,0,27,18,31,0,0,104,0,46,14
154,1400000US26017285201,"Census Tract 2852.01, Bay County, Michigan",22,0,0,19,13,0,0,0,26,39,29,54,409,14,0,0,44,42,23,0,0,83,61,65,77,250,14,0,0,13,0,25,0,0,44,88,0,66
151,1400000US26017285202,"Census Tract 2852.02, Bay County, Michigan",0,49,120,32,0,22,0,0,41,7,9,13,238,34,0,0,79,22,0,0,0,0,50,0,53,298,19,0,0,12,50,0,0,0,28,28,67,94
231,1400000US26017285300,"Census Tract 2853, Bay County, Michigan",0,0,39,29,5,11,0,8,74,47,25,34,288,3,0,19,81,0,15,0,6,53,44,10,57,358,5,0,3,20,0,2,0,59,99,56,55,59
222,1400000US26017285400,"Census Tract 2854, Bay County, Michigan",0,0,8,0,7,0,0,15,31,0,0,98,224,7,0,9,0,4,0,0,25,0,79,60,40,151,15,0,0,0,0,0,0,11,41,14,12,58
232,1400000US26017285500,"Census Tract 2855, Bay County, Michigan",0,0,38,17,0,22,0,29,25,88,52,100,480,0,24,63,0,0,29,0,40,38,116,93,77,523,0,8,0,18,0,0,0,0,126,32,174,165
234,1400000US26017285600,"Census Tract 2856, Bay County, Michigan",0,15,0,0,0,70,0,0,154,34,185,16,503,0,15,20,22,27,44,0,0,155,38,67,115,552,14,27,12,0,11,45,0,16,115,12,138,162
219,1400000US26017285700,"Census Tract 2857, Bay County, Michigan",80,0,31,0,50,0,0,0,0,40,0,11,224,11,12,0,0,0,0,0,0,35,120,8,38,253,0,0,0,11,0,11,11,0,84,78,0,58
228,1400000US26017285800,"Census Tract 2858, Bay County, Michigan",82,80,80,20,0,15,0,35,19,83,0,32,353,126,59,14,33,0,30,0,0,33,14,28,16,587,275,33,0,0,99,16,19,0,45,47,53,0
229,1400000US26017285900,"Census Tract 2859, Bay County, Michigan",46,29,105,0,34,0,0,0,54,35,0,0,322,64,40,32,0,0,21,0,0,0,66,79,20,298,32,0,0,65,0,19,0,0,43,81,28,30
225,1400000US26017286000,"Census Tract 2860, Bay County, Michigan",0,0,0,0,0,11,0,0,0,62,0,29,101,9,0,0,0,0,11,0,0,0,45,0,36,151,0,0,0,10,0,0,0,0,0,39,64,38
236,1400000US26017286100,"Census Tract 2861, Bay County, Michigan",0,9,4,0,20,22,15,0,34,30,19,108,423,59,0,4,22,0,30,9,0,95,116,9,79,712,39,0,0,0,10,5,3,0,200,184,139,132
226,1400000US26017286200,"Census Tract 2862, Bay County, Michigan",26,60,23,0,0,0,1,22,74,32,34,10,296,0,39,24,0,2,6,0,3,168,38,10,6,331,34,35,4,4,9,5,0,0,107,99,15,19
223,1400000US26017286300,"Census Tract 2863, Bay County, Michigan",17,17,15,16,19,30,6,11,46,8,17,20,262,28,0,0,22,20,23,5,13,60,37,43,11,333,43,49,0,8,24,30,5,10,75,30,33,26
220,1400000US26017286400,"Census Tract 2864, Bay County, Michigan",5,11,10,3,4,3,8,4,36,12,0,5,194,3,5,17,3,2,0,0,8,64,21,23,48,212,4,5,15,27,10,26,0,3,27,39,19,37
155,1400000US26017286500,"Census Tract 2865, Bay County, Michigan",0,7,0,6,0,0,7,0,0,0,0,6,124,59,49,0,0,0,0,0,0,11,0,0,5,119,0,60,0,17,0,5,3,0,15,7,0,12
156,1400000US26017286600,"Census Tract 2866, Bay County, Michigan",16,93,164,0,0,24,0,0,179,0,0,0,173,0,0,32,27,0,0,0,0,48,10,44,12,492,76,72,19,101,0,94,0,12,96,0,22,0
157,1400000US26017990000,"Census Tract 9900, Bay County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1400000US26019000100,"Census Tract 1, Benzie County, Michigan",65,28,0,21,47,0,2,0,182,101,23,38,586,6,50,4,13,15,38,2,6,158,203,59,32,597,11,22,21,22,46,28,41,4,158,110,64,70
159,1400000US26019000200,"Census Tract 2, Benzie County, Michigan",0,26,0,23,20,0,0,0,38,2,32,0,113,0,0,0,26,26,12,0,0,30,17,2,0,308,22,13,20,33,14,0,3,0,65,41,77,20
160,1400000US26019000300,"Census Tract 3, Benzie County, Michigan",0,0,0,0,0,6,0,2,8,11,2,3,57,0,2,2,14,1,5,0,0,17,9,4,3,39,0,0,2,6,3,0,0,0,2,14,8,4
161,1400000US26019000400,"Census Tract 4, Benzie County, Michigan",0,0,0,8,0,0,0,0,4,17,0,14,30,0,0,4,0,5,0,0,0,8,5,3,5,88,8,4,0,0,0,15,0,0,9,0,11,41
162,1400000US26019000500,"Census Tract 5, Benzie County, Michigan",3,3,9,15,17,48,0,12,44,70,0,4,185,0,5,3,3,20,44,4,4,71,25,6,0,262,40,0,16,26,14,35,4,23,29,38,12,25
163,1400000US26019990000,"Census Tract 9900, Benzie County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,1400000US26021001000,"Census Tract 10, Berrien County, Michigan",0,6,0,0,0,0,0,0,26,25,21,84,80,0,0,0,0,6,0,0,0,29,14,12,19,89,0,0,0,0,0,0,0,0,39,20,0,30
2417,1400000US26021010100,"Census Tract 101, Berrien County, Michigan",47,0,9,0,9,0,0,3,29,61,49,12,181,0,0,23,2,0,2,0,0,37,71,9,37,270,19,0,31,3,0,0,0,2,51,88,16,60
2407,1400000US26021010200,"Census Tract 102, Berrien County, Michigan",82,2,29,22,29,15,18,4,92,63,56,15,408,48,5,33,42,25,2,78,0,90,16,38,31,598,120,30,55,6,11,0,17,0,127,59,122,51
