,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
2011,1400000US42001031102,"Census Tract 311.02, Adams County, Pennsylvania",0,9,0,0,0,0,0,0,21,85,0,10,247,0,24,0,17,18,0,0,5,21,66,8,88,266,8,9,0,33,0,0,0,5,19,52,19,121,109,120.6,162.4,246,638,
2012,1400000US42001031201,"Census Tract 312.01, Adams County, Pennsylvania",0,0,0,0,0,0,0,9,45,8,20,56,228,0,0,0,7,0,12,0,0,6,28,78,97,216,0,0,0,0,11,12,0,0,9,32,82,70,12.5,112.1,54.4,403,582,
2005,1400000US42001031202,"Census Tract 312.02, Adams County, Pennsylvania",5,0,0,0,13,0,0,0,43,16,22,44,163,0,0,0,13,11,15,0,10,39,14,27,34,265,16,0,0,0,0,18,0,30,6,49,22,124,46,188.8,63.2,273,571,
2013,1400000US42001031203,"Census Tract 312.03, Adams County, Pennsylvania",21,0,7,3,0,0,0,32,24,37,12,51,213,0,0,5,3,0,7,0,8,56,50,25,59,154,4,0,0,0,6,4,0,0,35,50,15,40,46,196.4,109.6,202,554,
847,1400000US42001031300,"Census Tract 313, Adams County, Pennsylvania",0,0,26,11,0,0,0,0,174,46,0,9,367,0,28,0,28,18,0,20,8,163,41,25,36,434,0,0,0,23,28,0,19,0,148,68,66,82,139,586,124,218,1067,
2008,1400000US42001031401,"Census Tract 314.01, Adams County, Pennsylvania",11,23,21,0,29,15,0,0,7,27,13,47,244,77,0,0,0,7,12,0,0,25,69,10,44,257,38,0,0,0,20,16,0,0,24,75,15,69,198,161.2,136.8,198,694,
2014,1400000US42001031402,"Census Tract 314.02, Adams County, Pennsylvania",88,0,0,0,0,0,6,0,36,12,13,19,97,0,0,0,0,0,4,0,0,40,15,20,18,135,8,0,0,0,0,19,0,0,41,17,14,36,96,154.8,35.2,120,406,
2006,1400000US42001031501,"Census Tract 315.01, Adams County, Pennsylvania",0,2,0,7,0,19,0,0,3,25,7,10,52,3,1,0,11,0,13,0,0,6,4,14,0,52,8,14,0,0,0,5,0,0,3,3,0,19,46,55.4,25.6,50,177,
851,1400000US42001031502,"Census Tract 315.02, Adams County, Pennsylvania",10,23,0,34,0,19,0,0,24,62,17,0,297,70,107,24,19,10,15,0,0,28,12,6,6,392,75,74,0,23,42,54,0,0,25,33,8,58,485,212.4,85.6,95,878,
2009,1400000US42001031600,"Census Tract 316, Adams County, Pennsylvania",0,8,0,32,0,26,0,30,92,138,42,154,462,8,2,0,2,8,42,6,0,57,153,19,165,468,8,2,0,11,10,8,0,0,71,143,84,131,82,427.8,347.2,595,1452,
848,1400000US42001031700,"Census Tract 317, Adams County, Pennsylvania",0,3,20,0,0,15,0,0,53,19,2,17,161,5,5,18,6,15,17,0,0,45,20,13,17,180,10,9,12,0,11,20,0,2,56,21,10,29,101,233,48,88,470,
2546,1400000US42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,35,0,15,0,9,90,0,42,0,0,0,0,0,0,0,0,0,48,72,0,0,0,0,0,0,0,0,37,15,0,20,42,78,24,77,221,
2066,1400000US42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",0,0,0,0,51,7,0,0,12,0,13,0,102,0,0,0,0,19,15,0,0,51,17,0,0,210,0,0,0,16,81,14,0,0,82,17,0,0,91.5,263.3,27.2,13,395,
2450,1400000US42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",0,0,0,0,47,25,0,26,8,38,9,47,175,0,0,0,0,0,0,0,0,13,20,35,107,124,0,0,0,28,0,0,0,0,29,10,14,43,51.5,138.1,54.4,255,499,
81,1400000US42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",54,45,0,39,0,0,0,0,21,0,0,19,212,55,76,0,42,0,0,0,0,3,0,23,13,102,11,33,0,12,12,0,0,0,34,0,0,0,373,64,0,55,492,
50,1400000US42003101700,"Census Tract 1017, Allegheny County, Pennsylvania",9,0,6,0,0,9,0,0,17,50,0,0,92,35,0,0,0,0,8,0,0,0,49,0,0,47,37,0,0,0,0,0,5,0,0,5,0,0,87,59.8,83.2,0,230,
843,1400000US42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,13,0,39,18,65,0,0,0,0,0,0,0,0,41,24,0,0,127,0,0,0,0,0,0,0,0,58,13,36,20,0,119.4,29.6,113,262,
80,1400000US42003010300,"Census Tract 103, Allegheny County, Pennsylvania",8,42,0,9,0,0,0,0,7,0,0,20,35,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,7,0,20,121,
844,1400000US42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,52,149,207,14,0,0,42,0,0,0,0,0,0,40,111,180,13,0,0,18,0,0,0,0,18,0,22,109,87,18,0,483,588,
412,1400000US42003110600,"Census Tract 1106, Allegheny County, Pennsylvania",0,13,0,0,0,0,0,0,38,21,14,84,135,7,0,26,0,0,0,0,0,0,27,0,75,96,27,0,0,0,8,0,0,0,0,17,0,44,77,55,52,217,401,
2975,1400000US42003111300,"Census Tract 1113, Allegheny County, Pennsylvania",51,8,0,0,0,0,0,0,82,6,0,47,145,34,0,0,0,35,0,0,7,52,0,11,6,214,28,13,0,95,0,0,0,14,42,0,22,0,246.5,215.7,4.8,86,553,
413,1400000US42003111400,"Census Tract 1114, Allegheny County, Pennsylvania",0,30,0,20,5,0,0,0,9,0,7,0,69,9,0,25,19,0,0,0,0,10,6,0,0,118,60,0,26,16,0,0,0,0,8,8,0,0,207.5,32.3,11.2,7,258,
2547,1400000US42003111500,"Census Tract 1115, Allegheny County, Pennsylvania",30,52,0,42,61,16,48,0,0,22,0,0,114,0,0,0,52,62,0,0,0,0,0,0,0,27,0,0,0,11,0,9,0,0,0,7,0,0,248.5,140.3,23.2,0,412,
2451,1400000US42003120300,"Census Tract 1203, Allegheny County, Pennsylvania",24,31,17,0,17,0,21,0,0,0,15,0,151,18,58,23,0,17,0,0,0,21,0,14,0,248,23,80,5,24,0,0,0,0,54,6,49,7,320,114.2,4.8,85,524,
2910,1400000US42003120400,"Census Tract 1204, Allegheny County, Pennsylvania",17,41,0,0,6,0,0,0,0,0,0,0,52,0,37,15,0,0,0,0,0,0,0,0,0,95,31,0,13,0,47,0,4,0,0,0,0,0,180.5,30.5,0,0,211,
2067,1400000US42003120700,"Census Tract 1207, Allegheny County, Pennsylvania",0,91,11,0,0,0,0,0,0,0,0,0,83,0,66,11,6,0,0,0,0,0,0,0,0,65,27,0,0,0,0,0,0,0,38,0,0,0,212,38,0,0,250,
96,1400000US42003120800,"Census Tract 1208, Allegheny County, Pennsylvania",10,7,8,0,0,0,0,0,0,4,0,0,101,20,10,15,11,0,20,0,0,21,4,0,0,77,10,0,14,20,0,20,0,0,0,0,0,13,125,62.6,6.4,13,207,
414,1400000US42003130100,"Census Tract 1301, Allegheny County, Pennsylvania",35,25,114,9,0,0,0,0,0,0,10,0,233,78,42,56,8,0,0,0,10,0,21,18,0,145,21,40,59,17,0,0,8,0,0,0,0,0,504,22.2,16.8,28,571,
85,1400000US42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",44,32,87,0,0,28,0,0,0,0,0,15,89,20,10,49,0,0,0,0,0,0,0,0,10,120,8,32,0,26,0,0,0,6,10,0,0,38,308,44,0,63,415,
312,1400000US42003130300,"Census Tract 1303, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,137,20,0,0,0,0,0,0,114,0,0,0,3,74,6,0,6,0,6,0,0,38,0,0,18,0,35,155,0,21,211,
2074,1400000US42003130400,"Census Tract 1304, Allegheny County, Pennsylvania",48,0,18,0,0,0,0,0,0,19,0,0,102,96,0,0,0,0,6,0,0,0,0,0,0,69,44,0,0,0,0,6,0,0,19,0,0,0,206,34.8,15.2,0,256,
2068,1400000US42003130600,"Census Tract 1306, Allegheny County, Pennsylvania",25,79,46,11,0,30,0,0,0,41,43,0,126,10,42,25,0,0,28,0,0,10,11,0,0,145,39,11,0,0,0,0,0,0,75,20,0,0,288,157.4,57.6,43,546,
429,1400000US42003140100,"Census Tract 1401, Allegheny County, Pennsylvania",0,0,0,20,8,0,0,0,5,8,32,89,192,0,0,0,7,20,0,0,0,26,0,0,139,140,0,0,0,8,0,22,0,0,13,0,0,97,49,81.6,6.4,357,494,
97,1400000US42003140200,"Census Tract 1402, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,79,40,0,0,0,0,0,0,0,0,0,0,0,40,76,18,0,0,0,0,0,0,0,0,0,0,58,18,0,0,177,195,
2075,1400000US42003140300,"Census Tract 1403, Allegheny County, Pennsylvania",28,0,26,0,0,20,0,0,34,10,9,205,225,0,0,24,0,0,30,0,0,7,83,10,71,192,0,0,0,0,0,10,0,0,0,58,28,96,78,131.2,120.8,419,749,
254,1400000US42003140400,"Census Tract 1404, Allegheny County, Pennsylvania",0,6,9,0,0,0,0,0,0,16,7,136,170,0,0,9,0,8,0,0,0,0,5,22,126,171,0,0,13,0,8,6,0,0,16,10,6,112,45,36.2,24.8,409,515,
86,1400000US42003140500,"Census Tract 1405, Allegheny County, Pennsylvania",0,0,12,0,0,0,0,14,9,13,0,0,31,0,0,11,0,0,0,0,0,0,20,0,0,66,0,0,0,0,0,0,0,0,0,0,20,46,23,29.6,26.4,66,145,
2452,1400000US42003140600,"Census Tract 1406, Allegheny County, Pennsylvania",18,0,0,9,34,6,0,0,22,47,73,65,137,0,0,0,0,0,0,0,0,24,50,12,51,199,0,53,0,0,0,0,0,0,18,61,21,46,97,118.6,126.4,268,610,
411,1400000US42003140800,"Census Tract 1408, Allegheny County, Pennsylvania",0,0,0,0,0,9,22,0,91,67,62,128,309,0,0,0,30,0,8,22,0,29,37,103,80,187,0,0,0,55,0,8,0,0,0,35,0,89,85,216.8,111.2,462,875,
415,1400000US42003141000,"Census Tract 1410, Allegheny County, Pennsylvania",0,0,0,0,0,5,0,0,0,10,10,28,52,0,0,0,0,0,5,0,0,0,0,14,33,82,0,0,0,0,0,0,0,0,10,5,12,55,0,23,12,152,187,
845,1400000US42003141100,"Census Tract 1411, Allegheny County, Pennsylvania",0,0,0,0,20,4,0,0,14,9,0,16,117,0,0,0,10,60,3,8,0,8,24,0,4,47,0,0,0,0,0,11,0,0,8,15,8,5,50,105.6,38.4,33,227,
87,1400000US42003141300,"Census Tract 1413, Allegheny County, Pennsylvania",0,0,0,109,0,15,0,0,58,0,44,84,258,0,0,31,46,0,0,0,0,37,0,28,116,91,0,0,0,0,0,12,0,0,26,0,13,40,186,148,0,325,659,
88,1400000US42003141400,"Census Tract 1414, Allegheny County, Pennsylvania",0,0,0,0,0,28,14,15,15,54,0,149,242,29,0,0,0,0,0,0,0,0,0,0,213,222,18,0,0,0,0,0,0,0,21,0,0,183,47,103.8,43.2,545,739,
2076,1400000US42003151600,"Census Tract 1516, Allegheny County, Pennsylvania",5,0,0,0,0,0,0,5,40,0,33,78,136,8,0,0,0,7,0,0,19,44,19,0,39,117,9,0,0,0,0,0,0,8,39,30,31,0,25.5,168.3,39.2,181,414,
2911,1400000US42003151700,"Census Tract 1517, Allegheny County, Pennsylvania",43,0,0,0,0,0,0,0,47,110,0,51,344,0,0,0,0,0,0,24,12,18,88,0,202,248,0,0,0,0,0,0,31,24,52,0,107,34,43,247.6,158.4,394,843,
2073,1400000US42003160800,"Census Tract 1608, Allegheny County, Pennsylvania",0,38,20,56,0,0,0,0,0,0,0,10,21,0,21,0,0,0,0,0,0,0,0,0,0,113,15,10,0,0,0,10,39,0,11,28,0,0,160,65.6,22.4,10,258,
2448,1400000US42003160900,"Census Tract 1609, Allegheny County, Pennsylvania",0,0,0,0,5,0,0,0,32,0,0,30,62,0,0,8,0,4,0,0,0,0,0,50,0,85,0,0,0,0,30,0,0,0,0,0,0,55,27.5,51.5,0,135,214,
426,1400000US42003170200,"Census Tract 1702, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,22,22,
416,1400000US42003170600,"Census Tract 1706, Allegheny County, Pennsylvania",6,12,0,14,0,0,0,0,0,0,0,0,70,0,6,0,14,0,44,0,0,6,0,0,0,44,0,0,0,14,0,0,0,0,11,9,6,4,66,62.8,7.2,10,146,
313,1400000US42003180300,"Census Tract 1803, Allegheny County, Pennsylvania",0,0,0,6,20,0,0,8,0,0,0,0,378,66,138,0,12,141,0,0,21,0,0,0,0,279,0,0,0,0,95,65,0,70,1,0,36,12,350,293,0,48,691,
1095,1400000US42003180700,"Census Tract 1807, Allegheny County, Pennsylvania",29,0,0,0,50,0,0,0,8,11,0,12,74,14,33,16,0,0,0,0,0,0,11,0,0,81,33,7,12,4,8,1,8,0,0,0,0,8,177,50.4,17.6,20,265,
89,1400000US42003190300,"Census Tract 1903, Allegheny County, Pennsylvania",0,0,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,43,0,10,0,0,0,0,0,21.5,61.5,0,0,83,
1096,1400000US42003191100,"Census Tract 1911, Allegheny County, Pennsylvania",0,11,53,0,0,0,0,0,72,10,34,26,87,0,0,52,0,0,0,0,0,15,9,11,0,22,0,0,7,0,0,0,0,0,12,0,0,3,123,102.8,15.2,74,315,
314,1400000US42003191400,"Census Tract 1914, Allegheny County, Pennsylvania",102,0,0,0,12,0,0,0,51,0,0,12,76,0,9,40,0,0,0,0,0,0,0,27,0,29,1,0,11,0,0,0,0,0,0,0,0,17,169,57,0,56,282,
2453,1400000US42003191500,"Census Tract 1915, Allegheny County, Pennsylvania",0,10,0,7,0,18,0,73,0,0,8,0,87,0,0,0,0,15,0,0,72,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,28,174,0,8,210,
2159,1400000US42003191600,"Census Tract 1916, Allegheny County, Pennsylvania",37,15,25,0,0,13,0,0,82,154,33,31,204,9,0,56,0,0,0,0,24,45,0,0,70,170,0,0,0,0,0,30,0,6,124,10,0,0,142,356.8,131.2,134,764,
2971,1400000US42003191700,"Census Tract 1917, Allegheny County, Pennsylvania",0,17,0,0,0,0,0,0,24,42,61,9,267,0,17,0,0,0,0,0,28,18,32,115,57,156,0,0,0,0,0,0,0,0,87,22,0,47,34,176.2,76.8,289,576,
315,1400000US42003191800,"Census Tract 1918, Allegheny County, Pennsylvania",32,39,0,0,29,69,22,0,55,49,14,72,330,0,72,0,0,39,0,0,0,110,109,0,0,376,55,0,0,0,0,84,20,23,66,114,14,0,232,537.4,217.6,100,1087,
2069,1400000US42003191900,"Census Tract 1919, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,77,27,70,11,59,0,0,0,0,0,13,0,0,36,10,0,0,113,11,0,0,17,0,17,0,35,10,0,11,12,28,195.4,29.6,104,357,
51,1400000US42003192000,"Census Tract 1920, Allegheny County, Pennsylvania",0,0,0,37,0,0,15,0,34,0,41,16,291,17,0,0,37,54,0,17,0,44,78,36,8,194,37,0,9,18,0,0,0,0,47,20,42,21,182,203.6,78.4,164,628,
82,1400000US42003020100,"Census Tract 201, Allegheny County, Pennsylvania",28,0,0,0,0,0,0,0,0,0,28,57,14,0,0,0,0,0,0,0,0,0,0,0,14,44,0,0,0,0,0,0,0,0,0,0,0,44,28,0,0,143,171,
316,1400000US42003202200,"Census Tract 2022, Allegheny County, Pennsylvania",179,13,14,14,0,0,0,18,39,17,6,18,446,123,147,15,13,0,0,0,0,122,21,0,5,193,0,50,63,0,0,0,0,0,24,14,0,42,631,213.4,41.6,71,957,
2388,1400000US42003202300,"Census Tract 2023, Allegheny County, Pennsylvania",0,0,0,16,0,18,0,0,13,0,0,42,182,0,0,0,0,0,0,0,0,0,19,37,126,36,0,0,0,0,0,0,0,0,0,19,0,17,16,38.6,30.4,222,307,
2909,1400000US42003020300,"Census Tract 203, Allegheny County, Pennsylvania",0,4,0,0,0,0,0,0,18,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,15,37,
1097,1400000US42003210700,"Census Tract 2107, Allegheny County, Pennsylvania",12,0,37,0,0,0,0,0,68,11,0,6,103,12,0,11,0,6,0,0,8,48,10,0,8,102,0,22,9,0,12,5,0,18,7,11,11,7,112,169.4,25.6,32,339,
404,1400000US42003220600,"Census Tract 2206, Allegheny County, Pennsylvania",0,0,0,0,0,12,0,0,0,11,5,30,34,0,0,0,0,0,0,0,0,0,0,0,34,28,0,0,0,0,13,0,0,4,0,0,5,6,6.5,24.7,8.8,80,120,
1852,1400000US42003240600,"Census Tract 2406, Allegheny County, Pennsylvania",11,24,0,0,0,0,0,0,0,0,0,71,9,0,0,0,0,0,0,0,0,9,0,0,0,52,0,29,10,0,0,0,0,0,13,0,0,0,74,22,0,71,167,
2573,1400000US42003241200,"Census Tract 2412, Allegheny County, Pennsylvania",0,0,0,7,0,0,0,6,0,0,0,0,21,0,7,3,4,0,0,0,0,0,7,0,0,65,0,0,6,1,0,0,0,6,10,26,16,0,28,28.6,26.4,16,99,
2617,1400000US42003250300,"Census Tract 2503, Allegheny County, Pennsylvania",0,25,26,0,0,0,0,0,0,0,1,10,53,0,10,27,0,0,0,0,0,14,0,2,0,33,0,7,0,0,0,0,21,0,0,0,0,5,95,35,0,18,148,
1315,1400000US42003250700,"Census Tract 2507, Allegheny County, Pennsylvania",9,43,0,17,0,0,0,0,0,0,0,0,70,0,43,11,5,0,0,0,0,0,0,11,0,8,8,0,0,0,0,0,0,0,0,0,0,0,136,0,0,11,147,
2618,1400000US42003250900,"Census Tract 2509, Allegheny County, Pennsylvania",16,42,0,31,24,25,0,0,7,0,0,0,34,8,7,9,0,0,10,0,0,0,0,0,0,17,7,0,0,10,0,0,0,0,0,0,0,0,142,54,0,0,196,
405,1400000US42003260200,"Census Tract 2602, Allegheny County, Pennsylvania",0,7,0,0,10,0,0,0,0,0,12,20,131,0,8,14,35,11,6,8,0,8,9,6,26,96,0,14,0,11,25,5,0,0,0,9,15,17,112,53.6,14.4,96,276,
2442,1400000US42003260700,"Census Tract 2607, Allegheny County, Pennsylvania",0,0,0,0,0,2,0,0,89,0,7,43,52,0,0,0,0,0,2,0,0,8,0,21,21,86,0,0,8,0,0,26,0,0,19,0,0,33,8,146,0,125,279,
2572,1400000US42003260900,"Census Tract 2609, Allegheny County, Pennsylvania",74,77,78,0,0,0,0,0,0,0,0,0,164,30,49,78,0,0,0,0,0,7,0,0,0,90,15,28,20,27,0,0,0,0,0,0,0,0,476,7,0,0,483,
2619,1400000US42003261200,"Census Tract 2612, Allegheny County, Pennsylvania",0,0,0,0,0,14,0,0,30,14,13,5,101,0,0,0,0,0,0,0,0,65,18,10,8,45,0,0,0,0,0,0,0,0,17,18,10,0,0,136,40,46,222,
2914,1400000US42003261400,"Census Tract 2614, Allegheny County, Pennsylvania",16,0,35,0,0,0,29,0,0,85,12,8,115,26,9,56,0,0,0,0,0,20,0,0,4,110,46,10,0,0,0,3,8,0,26,17,0,0,198,106.4,81.6,24,410,
2443,1400000US42003261500,"Census Tract 2615, Allegheny County, Pennsylvania",64,0,0,0,0,0,0,0,0,0,0,13,168,100,0,0,0,0,0,0,0,38,0,0,30,177,112,0,0,0,0,0,0,0,13,12,0,40,276,53.4,9.6,83,422,
2441,1400000US42003262000,"Census Tract 2620, Allegheny County, Pennsylvania",93,87,53,0,0,0,0,0,0,50,0,0,61,36,0,0,19,0,0,0,0,0,0,0,6,98,38,0,0,36,0,0,0,0,0,0,0,24,362,10,40,30,442,
1853,1400000US42003270100,"Census Tract 2701, Allegheny County, Pennsylvania",0,0,21,0,0,0,0,15,44,23,30,40,187,0,76,23,0,0,0,0,0,36,8,19,25,276,0,47,11,0,10,0,19,0,40,49,0,100,183,175,64,214,636,
406,1400000US42003270300,"Census Tract 2703, Allegheny County, Pennsylvania",0,0,0,11,0,7,0,0,0,12,61,16,84,0,0,0,38,0,0,0,0,19,27,0,0,215,0,0,0,10,61,0,0,0,100,17,15,12,89.5,167.7,44.8,104,406,
1854,1400000US42003270400,"Census Tract 2704, Allegheny County, Pennsylvania",0,0,0,6,0,0,0,13,0,7,0,0,25,16,0,9,0,0,0,0,0,0,0,0,0,60,18,0,19,0,0,0,23,0,0,0,0,0,68,37.4,5.6,0,111,
