idx,general,pediatric,specialist,hygienist_for_general,hygienist_for_pediatric,Address,ZIP,City,State,Latitude,Longitude,CensusCountyFips,CensusStateFips,County,med_indicator,chip_indicator
18,0,0,1,0,0,10070 E. SOUTH BEND DR,85255,SCOTTSDALE,AZ,33.6422118,-111.86470800000001,13,4,Maricopa County,0,0
19,1,0,0,2,0,101 RIVIERA DR,86403,LAKE HAVASU CITY,AZ,34.4802178,-114.3352009,15,4,Mohave County,0,0
20,1,0,0,2,0,1010 N SCENIC DRIVE,85541,PAYSON,AZ,34.267635399999996,-111.28141509999999,7,4,Gila County,0,0
21,1,0,0,2,0,10103 N 101ST ST,85258,SCOTTSDALE,AZ,33.5768249,-111.8653277,13,4,Maricopa County,0,0
22,1,0,0,2,0,10108 E. AMPERE AVE.,85212,MESA,AZ,33.3293007,-111.6159852,13,4,Maricopa County,0,0
23,4,0,1,8,0,1011 N CRAYCROFT  #107,85711,TUCSON,AZ,32.2349143,-110.87619040000001,19,4,Pima County,0,0
24,0,0,2,0,0,"1011 N CRAYCROFT RD,SUITE 107",85711,TUCSON,AZ,32.2349143,-110.87619040000001,19,4,Pima County,0,0
25,1,0,0,2,0,"1011 N. CRAYCROFT RD,SUITE 107",85711,TUCSON,AZ,32.2349143,-110.87619040000001,19,4,Pima County,0,0
26,1,0,1,2,0,"1011 N. CRAYCROFT RD., STE 107",85711,TUCSON,AZ,32.2349143,-110.87619040000001,19,4,Pima County,0,0
27,1,0,0,2,0,"10115 E. BELL RD,STE 107-128",85260,SCOTTSDALE,AZ,33.639013899999995,-111.8641105,13,4,Maricopa County,0,0
28,1,0,0,2,0,"1012 EAST WASHINGTON STREET,APT 3103",85034,PHOENIX,AZ,33.44748932,-112.0598269,13,4,Maricopa County,0,0
29,1,0,0,2,0,10120 E. BUCKSKIN TRAIL,85255,SCOTTSDALE,AZ,33.7139305,-111.8625688,13,4,Maricopa County,0,0
30,1,0,0,2,0,10129 E. CLINTON ST,86260,SCOTTSDALE,AZ,33.5836265,-111.86270479999999,13,4,Maricopa County,0,0
31,1,0,0,2,0,"10147 N.GRAND AVE., STE A-3",85351,SUN CITY,AZ,33.598925,-112.27927949999999,13,4,Maricopa County,0,0
32,1,0,0,2,0,10181 N 92ND ST #102,85258,SCOTTSDALE,AZ,33.5780069,-111.878681,13,4,Maricopa County,0,0
33,1,0,0,2,0,10187 E. SUNNYSIDE DR.,85260,SCOTTSDALE,AZ,33.5959729,-111.86064240000002,13,4,Maricopa County,0,0
34,1,0,0,2,0,"10195 N ORACLE RD,SUITE 111",85704,TUCSON,AZ,32.3916886,-110.96422759999999,19,4,Pima County,0,0
35,1,0,0,2,0,"10200 W HAPPY VALLEY PKWY,SUITE 130",85383,PEORIA,AZ,33.80232645,-112.24700790000001,13,4,Maricopa County,0,0
36,1,0,0,2,0,10206 E. DESERT FLOWER PLACE,85749,TUCSON,AZ,32.254148699999995,-110.77433570000001,19,4,Pima County,0,0
37,1,0,0,2,0,10214 N EIGHT IRON LANE,85737,ORO VALLEY,AZ,32.3919673,-110.9931106,19,4,Pima County,0,0
38,1,0,0,2,0,1022 N CLOUD CLIFF PASS,86314,PRESCOTT VALLEY,AZ,34.5597064,-112.3399353,25,4,Yavapai County,0,0
39,1,0,0,2,0,1023 E. HILLCREST DRIVE,86004,FLAGSTAFF,AZ,35.221314299999996,-111.62535359999998,5,4,Coconino County,0,0
40,1,0,0,2,0,"10239 WEST VIA DEL SOL,LOT 401",85383,PEORIA,AZ,33.68233799,-112.28037900000001,13,4,Maricopa County,0,0
41,1,0,0,2,0,"10245 E. VIA LINDA, STE 226",85258,SCOTTSDALE,AZ,33.5741771,-111.86056940000002,13,4,Maricopa County,0,0
42,1,0,0,2,0,10249 E PLA CRESTA VERDE,85749,TUCSON,AZ,32.28947135,-110.73171979999998,19,4,Pima County,0,0
43,1,0,0,2,0,1025 S POWER RD SUITE 106,85206,MESA,AZ,33.3961065,-111.6841888,13,4,Maricopa County,0,0
44,1,0,0,2,0,10260 N 90TH ST,85258,SCOTTSDALE,AZ,33.57912520000001,-111.889017,13,4,Maricopa County,0,0
45,1,0,0,2,0,10290 N. 92ND ST. STE 204,85258,SCOTTSDALE,AZ,33.5802888,-111.8835886,13,4,Maricopa County,0,0
46,1,0,0,2,0,10312 E 38TH LN,85365,YUMA,AZ,32.659366,-114.45682079999999,27,4,Yuma County,0,0
47,1,0,0,2,0,"10320 W. MCDOWELL RD., BLDG C,SUITE 3010",85392,AVONDALE,AZ,33.4661338,-112.28230520000001,13,4,Maricopa County,0,0
48,1,0,0,2,0,10325 N LA CANADA DR. STE 181,85737,ORO VALLEY,AZ,32.39401385,-110.99574969999999,19,4,Pima County,0,0
49,0,0,1,0,0,10332 W BUCKHORN TRL,85383,PEORIA,AZ,33.80232645,-112.24700790000001,13,4,Maricopa County,0,0
50,0,0,1,0,0,10344 E. SHARON DR,85260,SCOTTSDALE,AZ,33.60939129999999,-111.86062659999999,13,4,Maricopa County,0,0
51,1,0,0,2,0,1035 E. PALMAIRE AVE,85020,PHOENIX,AZ,33.5402507,-112.05909650000001,13,4,Maricopa County,0,0
52,2,0,0,4,0,"1035 W QUEEN CREEK RD.,SUITE 206",85248,CHANDLER,AZ,33.26168623,-111.86205819999999,13,4,Maricopa County,0,0
53,1,0,0,2,0,1036 E OAKLAND CT,85295,GILBERT,AZ,33.3123869,-111.7683211,13,4,Maricopa County,0,0
54,1,0,0,2,0,10360 E. RAVENSWOOD ST,85747,TUCSON,AZ,32.1361488,-110.77124599999999,19,4,Pima County,0,0
55,1,0,0,2,0,10372 N ORACLE STE 101,85737,ORO VALLEY,AZ,32.39390028,-110.9614393,19,4,Pima County,0,0
56,0,0,1,0,0,1040 E CALLE DE ARCOS,85284,TEMPE,AZ,33.33357943,-111.9256409,13,4,Maricopa County,0,0
57,1,0,0,2,0,10401 W. LOS GATOS DR.,85383,PEORIA,AZ,33.6843071,-112.28319579999999,13,4,Maricopa County,0,0
58,1,0,0,2,0,1041 E RUDASILL RD,85718,TUCSON,AZ,32.312888199999996,-110.95619950000001,19,4,Pima County,0,0
59,1,0,0,2,0,10410 E. RITA RD.,85747,TUCSON,AZ,32.10251644,-110.77041979999998,19,4,Pima County,0,0
60,2,0,0,4,0,10425 N ORACLE RD  #125,85737,ORO VALLEY,AZ,32.395666,-110.9607426,19,4,Pima County,0,0
61,1,0,0,2,0,10434 N 83RD ST.,85258,SCOTTSDALE,AZ,33.5800325,-111.90183219999999,13,4,Maricopa County,0,0
62,1,0,0,2,0,10439 EAST TIGER LILY AVENUE,85212,MESA,AZ,33.3198077,-111.6082382,13,4,Maricopa County,0,0
63,1,0,0,2,0,"10465 E. PINNACLE PEAK PKWY,SUITE 101",85255,SCOTTSDALE,AZ,33.7260029,-111.855223,13,4,Maricopa County,0,0
64,0,0,1,0,0,10475 E. RITA RANCH CROSSING CIRCLE,85747,TUCSON,AZ,32.10358649,-110.7688795,19,4,Pima County,0,0
65,1,0,0,2,0,105 N BEEBE ST APT 2059,85234,GILBERT,AZ,33.3521527,-111.69683470000001,13,4,Maricopa County,0,0
66,1,0,0,2,0,105 NORTH ROADRUNNER DR. #2,86336,SEDONA,AZ,34.86181537,-111.81404040000001,25,4,Yavapai County,0,0
67,1,0,0,2,0,"105 S. HOUGHTON RD,SUITE 125",85748,TUCSON,AZ,32.219582,-110.77218300000001,19,4,Pima County,0,0
68,0,0,1,0,0,1050 E SOUTHERN AVE STE B1,85282,TEMPE,AZ,33.393783,-111.9234155,13,4,Maricopa County,0,0
69,1,0,0,2,0,"1050 E. SOUTHERN AVE., STE 6",85282,TEMPE,AZ,33.393783,-111.9234155,13,4,Maricopa County,0,0
70,1,0,0,2,0,"1050 E. SOUTHERN AVE., STE B-1",85282,TEMPE,AZ,33.393783,-111.9234155,13,4,Maricopa County,0,0
71,1,0,0,2,0,10503 W THUNDERBIRD BLVD  #384,85351,SUN CITY,AZ,33.604203600000005,-112.2859365,13,4,Maricopa County,0,0
72,1,0,0,2,0,"10503 W. THUNDERBIRD BLVD., STE  371",85351,SUN CITY,AZ,33.604203600000005,-112.2859365,13,4,Maricopa County,0,0
73,1,0,0,2,0,10507 E. SIMONE AVE.,85212,MESA,AZ,33.330459000000005,-111.60721159999999,13,4,Maricopa County,0,0
74,1,0,0,2,0,10543 E. CORTEZ DR.,85259,SCOTTSDALE,AZ,33.5919341,-111.85326859999999,13,4,Maricopa County,0,0
75,1,0,0,2,0,1055 RUTH ST  #7,86301,PRESCOTT,AZ,34.5624284,-112.47632140000002,25,4,Yavapai County,0,0
76,1,0,0,2,0,"10550 N. LA CANADA DR., SUITE 106",85737,ORO VALLEY,AZ,32.39777451,-110.9956587,19,4,Pima County,0,0
77,1,0,0,2,0,10555 N TATUM BLVD  #A-104,85253,PARADISE VALLEY,AZ,33.581514399999996,-111.9769912,13,4,Maricopa County,0,0
78,1,0,0,2,0,10555 N TATUM BLVD #A106,85253,PARADISE VALLEY,AZ,33.581514399999996,-111.9769912,13,4,Maricopa County,0,0
79,1,0,0,2,0,10555 N TATUM BLVD A-104,85253,PARADISE VALLEY,AZ,33.581514399999996,-111.9769912,13,4,Maricopa County,0,0
80,1,0,0,2,0,"10555 N TATUM BLVD,SUITE A104",85253,PARADISE VALLEY,AZ,33.581514399999996,-111.9769912,13,4,Maricopa County,0,0
81,1,0,0,2,0,10555 N. TATUM BLVD A-106,85253,PARADISE VALLEY,AZ,33.581514399999996,-111.9769912,13,4,Maricopa County,0,0
82,1,0,0,2,0,"10555 N. TATUM BLVD., STE A102",85253,PARADISE VALLEY,AZ,33.581514399999996,-111.9769912,13,4,Maricopa County,0,0
83,1,0,0,2,0,1056 S VAL VISTA DR  #3,85204,MESA,AZ,33.395940100000004,-111.7540999,13,4,Maricopa County,0,0
84,1,0,0,2,0,1056 S. VAL VISTA DR #1,85204,MESA,AZ,33.395940100000004,-111.7540999,13,4,Maricopa County,0,0
85,1,0,0,2,0,"1056 S. VAL VISTA DR., STE 1",85204,MESA,AZ,33.395940100000004,-111.7540999,13,4,Maricopa County,0,0
86,1,0,0,2,0,10565 N TATUM BLVD  #B-111,85253,PARADISE VALLEY,AZ,33.545004399999996,-111.95853490000002,13,4,Maricopa County,0,0
87,1,0,0,2,0,1058 FAIR ST  #A,86305,PRESCOTT,AZ,34.553552,-112.48564809999999,25,4,Yavapai County,0,0
88,1,0,0,2,0,"1058 N HIGLEY RD,SUITE 212",85205,MESA,AZ,33.4347275,-111.7207348,13,4,Maricopa County,0,0
89,1,0,0,2,0,"1058 N. HIGLEY RD., STE 212",85205,MESA,AZ,33.4347275,-111.7207348,13,4,Maricopa County,0,0
90,1,0,0,2,0,"1060 S. HARRISON RD,STE 110",85748,TUCSON,AZ,32.2083133,-110.79021100000001,19,4,Pima County,0,0
91,1,0,0,2,0,"1060 S. HARRISON RD.,SUITE 110",85748,TUCSON,AZ,32.2083133,-110.79021100000001,19,4,Pima County,0,0
92,1,0,0,2,0,10600 E VALENCIA RD,85747,TUCSON,AZ,32.1186132,-110.7655101,19,4,Pima County,0,0
93,1,0,0,2,0,10601 N HAYDEN RD #I101,85260,SCOTTSDALE,AZ,33.583388,-111.9083605,13,4,Maricopa County,0,0
94,0,0,1,0,0,"10603 N. HAYDEN RD., STE H-112",85260,SCOTTSDALE,AZ,33.5829649,-111.9081592,13,4,Maricopa County,0,0
95,1,0,0,2,0,10615 E. AUTUMN SAGE DR,85255,SCOTTSDALE,AZ,33.6274995,-111.85206709999999,13,4,Maricopa County,0,0
96,1,0,0,2,0,"10615 N. HAYDEN RD,SUITE C-104",85260,SCOTTSDALE,AZ,33.583760999999996,-111.9069596,13,4,Maricopa County,0,0
97,1,0,0,2,0,10615 W THUNDERBIRD BLVD B-500,85351,SUN CITY,AZ,33.6045629,-112.288021,13,4,Maricopa County,0,0
98,1,0,0,2,0,10620 E. MARQUETTE ST.,85747,TUCSON,AZ,32.1374857,-110.76572490000001,19,4,Pima County,0,0
99,0,0,2,0,0,10629 N 71ST PL,85254,SCOTTSDALE,AZ,33.5833789,-111.9276237,13,4,Maricopa County,0,0
100,1,0,0,2,0,10630 N SCOTTSDALE RD,85254,SCOTTSDALE,AZ,33.5835581,-111.9265012,13,4,Maricopa County,0,0
101,0,0,1,0,0,"10632 N SCOTTSDALE RD,STE B, #655",85254,SCOTTSDALE,AZ,33.5836424,-111.9265012,13,4,Maricopa County,0,0
102,0,0,1,0,0,"10632 N. SCOTTSDALE RD., #609",85254,SCOTTSDALE,AZ,33.5836424,-111.9265012,13,4,Maricopa County,0,0
103,1,0,0,2,0,10638 E. TOPAZ DRIVE,85258,SCOTTSDALE,AZ,33.5792865,-111.85153629999999,13,4,Maricopa County,0,0
104,1,0,0,2,0,10638 W. EL CORTEZ PLACE,85383,PEORIA,AZ,33.716822,-112.28421170000001,13,4,Maricopa County,0,0
105,1,0,0,2,0,"10645 N ORACLE RD, STE 121,PMB 124",85737,ORO VALLEY,AZ,32.4002645,-110.9582351,19,4,Pima County,0,0
106,1,0,0,2,0,10655 E DESERT COVE AVE,85259,SCOTTSDALE,AZ,33.588313899999996,-111.8508852,13,4,Maricopa County,0,0
107,1,0,0,2,0,"10661 N FRANK LLOYD WRIGHT BLVD,SUITE 103",85259,SCOTTSDALE,AZ,33.583046100000004,-111.8330756,13,4,Maricopa County,0,0
108,1,0,0,2,0,10675 N SUMMER MOON PL,85737,TUCSON,AZ,32.4000887,-110.9894381,19,4,Pima County,0,0
109,1,0,0,2,0,"10697 N. FRANK LLOYD WRIGHT BLVD.,#102",85259,SCOTTSDALE,AZ,33.5836875,-111.8334795,13,4,Maricopa County,0,0
110,1,0,0,2,0,"107 N CORTEZ ST,SUITE 202",86301,PRESCOTT,AZ,34.542237899999996,-112.4684847,25,4,Yavapai County,0,0
111,0,0,1,0,0,"107 N GREENFIELD RD, STE 1",85205,MESA,AZ,33.4180959,-111.73615020000001,13,4,Maricopa County,0,0
112,2,0,0,4,0,"107 N. GREENFIELD RD., STE 2",85205,MESA,AZ,33.4180959,-111.73615020000001,13,4,Maricopa County,0,0
113,0,0,1,0,0,107 NORTH GREENFIELD RD #1,85205,MESA,AZ,33.4180959,-111.73615020000001,13,4,Maricopa County,0,0
114,2,0,0,4,0,"1070 E RAY RD., STE-7",85225,CHANDLER,AZ,33.32086456,-111.8225723,13,4,Maricopa County,0,0
115,1,0,0,2,0,"1070 E. RAY RD., STE 7",85225,CHANDLER,AZ,33.32086456,-111.8225723,13,4,Maricopa County,0,0
116,0,0,1,0,0,10715 E BECKER LANE,85259,SCOTTSDALE,AZ,33.582860100000005,-111.8498581,13,4,Maricopa County,0,0
117,1,0,0,2,0,"10715 N FRANK LLOYD WRIGHT BLVD,SUITE 102",85259,SCOTTSDALE,AZ,33.5837614,-111.83323419999999,13,4,Maricopa County,0,0
118,1,0,0,2,0,"10720 W INDIAN SCHOOL RD,SUITE 55",85037,PHOENIX,AZ,33.49473351,-112.29147420000001,13,4,Maricopa County,0,0
119,1,0,0,2,0,10739 SOUTH VAN TRAP SPRING DR.,85641,VAIL,AZ,32.0581884,-110.71859690000001,19,4,Pima County,0,0
120,1,0,0,2,0,10741 W. EL CORTEZ PLACE #1183,85383,PEORIA,AZ,33.7155705,-112.2866709,13,4,Maricopa County,0,0
121,1,0,0,2,0,"1075 E. RIGGS RD., STE 2",85249,CHANDLER,AZ,33.2182976,-111.8220545,13,4,Maricopa County,0,0
122,1,0,0,2,0,10750 W MCDOWELL RD D410,85392,AVONDALE,AZ,33.4655141,-112.29120159999998,13,4,Maricopa County,0,0
123,1,0,0,2,0,10751 E PRINCE RD,85749,TUCSON,AZ,32.2732697,-110.76226129999999,19,4,Pima County,0,0
124,1,0,0,2,0,10752 N 89TH PLACE #117,85260,SCOTTSDALE,AZ,33.5844486,-111.88866170000001,13,4,Maricopa County,0,0
125,0,0,1,0,0,10752 N. 89TH PL STE 107,85260,SCOTTSDALE,AZ,33.58446,-111.8886695,13,4,Maricopa County,0,0
126,0,0,1,0,0,"10752 N. 89TH PL., STE 117",85260,SCOTTSDALE,AZ,33.58446,-111.8886695,13,4,Maricopa County,0,0
127,1,0,0,2,0,"10752 N. 89TH PL., STE 217",85260,SCOTTSDALE,AZ,33.58446,-111.8886695,13,4,Maricopa County,0,0
128,0,0,1,0,0,10758 W. COTTONWOOD LN,85392,AVONDALE,AZ,33.47976113,-112.29190459999998,13,4,Maricopa County,0,0
129,1,0,0,2,0,"10785 N ORACLE RD,SUITE #103",85737,ORO VALLEY,AZ,32.40219269999999,-110.9564044,19,4,Pima County,0,0
130,1,0,0,2,0,1079 W. GARDEN GROVE DR.,85755,ORO VALLEY,AZ,32.4402909,-110.98856,19,4,Pima County,0,0
131,2,0,0,4,0,108 WHIPPLE STREET,86301,PRESCOTT,AZ,34.555254999999995,-112.46955449999999,25,4,Yavapai County,0,0
132,1,0,0,2,0,10800 AVENIDA DE ESPERANZA,85118,GOLD CANYON,AZ,33.35333518,-111.350493,21,4,Pinal County,0,0
133,1,0,0,2,0,10801 E. HAPPY VALLEY RD. #58,85255,SCOTTSDALE,AZ,33.7061598,-111.8478436,13,4,Maricopa County,0,0
134,1,0,0,2,0,10802 E RAINTREE DRIVE,85255,SCOTTSDALE,AZ,33.5050384,-111.9101368,13,4,Maricopa County,0,0
135,0,0,1,0,0,10802 N 71ST PL,85254,SCOTTSDALE,AZ,33.584287100000005,-111.92807659999998,13,4,Maricopa County,0,0
136,1,0,0,2,0,10814 N 71ST PL,85254,SCOTTSDALE,AZ,33.584799200000006,-111.9280727,13,4,Maricopa County,0,0
137,1,0,0,2,0,10815 N. 45TH PLACE,85028,PHOENIX,AZ,33.5851663,-111.98465220000001,13,4,Maricopa County,0,0
138,1,0,0,2,0,"1082 WILLOW CREEK RD,SUITE A101-417",86301,PRESCOTT,AZ,34.56297983,-112.48223590000002,25,4,Yavapai County,0,0
139,2,0,0,4,0,10850 N 90TH ST,85260,SCOTTSDALE,AZ,33.584909,-111.88632390000001,13,4,Maricopa County,0,0
140,1,0,0,2,0,10855 N. FRANK LLOYD WRIGHT BLVD #105,85259,SCOTTSDALE,AZ,33.584645200000004,-111.83386940000001,13,4,Maricopa County,0,0
141,1,0,0,2,0,10866 E. COSMOS CIRCLE,85255,SCOTTSDALE,AZ,33.6350598,-111.84970279999999,13,4,Maricopa County,0,0
142,1,0,0,2,0,10902 E MICHIGAN AVE,85248,SUN LAKES,AZ,33.2170242,-111.8480007,13,4,Maricopa County,0,0
143,1,0,0,2,0,1092 E. MCNAIR DR,85283,TEMPE,AZ,33.351090500000005,-111.92427690000001,13,4,Maricopa County,0,0
144,1,0,0,2,0,"10920 N. TATUM BLVD., STE A103",85028,PHOENIX,AZ,33.585671999999995,-111.97871620000001,13,4,Maricopa County,0,0
145,1,0,0,2,0,1093 E HANCOCK RD,86442,BULLHEAD CITY,AZ,35.1082547,-114.6096065,15,4,Mohave County,0,0
146,1,0,0,2,0,1093 HANCOCK RD,86442,BULLHEAD CITY,AZ,35.1082547,-114.6096065,15,4,Mohave County,0,0
147,2,0,0,4,0,1093 HANCOCK ROAD,86442,BULLHEAD CITY,AZ,35.1082547,-114.6096065,15,4,Mohave County,0,0
148,1,0,0,2,0,10930 E. CAMINO MIRAMONTE,85749,TUCSON,AZ,32.2878827,-110.75871979999998,19,4,Pima County,0,0
149,1,0,0,2,0,10952 W. YUKON DR.,85373,SUN CITY,AZ,33.6679141,-112.2961172,13,4,Maricopa County,0,0
150,1,0,0,2,0,1096 W. FOLLEY ST,85224,CHANDLER,AZ,33.2980443,-111.86157109999999,13,4,Maricopa County,0,0
151,1,0,0,2,0,"11 SOUTH 12TH STREET,APT #4107",85034,PHOENIX,AZ,33.44815901,-112.05632630000001,13,4,Maricopa County,0,0
152,1,0,0,2,0,11 SOUTH CENTRAL AVENUE #1706,85004,PHOENIX,AZ,33.44813518,-112.07370700000001,13,4,Maricopa County,0,0
153,1,0,0,2,0,"11 SOUTH CENTRAL AVENUE,#1507",85004,PHOENIX,AZ,33.44813518,-112.07370700000001,13,4,Maricopa County,0,0
154,1,0,0,2,0,1100 N SAN FRANCISCO ST  #D,86001,FLAGSTAFF,AZ,35.2073803,-111.64295770000001,5,4,Coconino County,0,0
155,1,0,0,2,0,"1100 N SAN FRANCISCO ST. SUITE, D",86001,FLAGSTAFF,AZ,35.2073803,-111.64295770000001,5,4,Coconino County,0,0
156,1,0,0,2,0,1100 S COTTONWOOD CT,85296,GILBERT,AZ,33.3301979,-111.78511270000001,13,4,Maricopa County,0,0
157,1,0,0,2,0,11000 N SCOTTSDALE RD  #140,85254,SCOTTSDALE,AZ,33.5870824,-111.9266902,13,4,Maricopa County,0,0
158,1,0,0,2,0,1101 N WILMOT RD SUITE 115,85712,TUCSON,AZ,32.2370696,-110.85874129999999,19,4,Pima County,0,0
159,1,0,0,2,0,1101 W 16TH ST,85364,YUMA,AZ,32.69840976,-114.6322399,27,4,Yuma County,0,0
160,1,0,0,2,0,"11015 N SCOTTSDALE RD.,STE 101",85254,SCOTTSDALE,AZ,33.5862556,-111.92569499999999,13,4,Maricopa County,0,0
161,1,0,0,2,0,11015 N. MONTROSE WAY,85254,SCOTTSDALE,AZ,33.5873281,-111.95636499999999,13,4,Maricopa County,0,0
162,1,0,0,2,0,11020 NORTH CAMINO DE OESTE,85742,TUCSON,AZ,32.40652755,-111.0631794,19,4,Pima County,0,0
163,0,0,1,0,0,"11030 N. TATUM BLVD., STE F-100",85028,PHOENIX,AZ,33.5870047,-111.9782376,13,4,Maricopa County,0,0
164,0,0,1,0,0,1104 NORTH EL DORADO PL,85715,TUCSON,AZ,32.236253399999995,-110.85518629999999,19,4,Pima County,0,0
165,1,0,0,2,0,11040 N. BRAKEN RIDGE RD.,86315,PRESCOTT VALLEY,AZ,34.70421327,-112.2728145,25,4,Yavapai County,0,0
166,1,0,0,2,0,11050 N SAGUARO BLVD #101,85268,FOUNTAIN HILLS,AZ,33.58623039,-111.70931709999999,13,4,Maricopa County,0,0
167,1,0,0,2,0,"111 W MONROE ST,SUITE 131",85003,PHOENIX,AZ,33.450049199999995,-112.0756761,13,4,Maricopa County,0,0
168,1,0,0,2,0,111 W. WIGWAM BLVD.,85340,LITCHFIELD PARK,AZ,33.4928801,-112.359117,13,4,Maricopa County,0,0
169,1,0,0,2,0,1110 W VERSILIA DR,85755,TUCSON,AZ,32.4526848,-110.98908899999999,19,4,Pima County,0,0
170,1,0,0,2,0,1110 W WESTON TRAIL,86005,FLAGSTAFF,AZ,35.1570588,-111.67533780000001,5,4,Coconino County,0,0
171,0,0,1,0,0,11105 E. CORTEZ ST.,85259,SCOTTSDALE,AZ,33.5900099,-111.8408583,13,4,Maricopa County,0,0
172,1,0,0,2,0,1111 RIATA VALLEY ROAD SUITE 350,86409,KINGMAN,AZ,35.23019779999999,-114.0385634,15,4,Mohave County,0,0
173,1,0,0,2,0,"11110 N. TATUM BLVD,BLDG H, SUITE 102",85028,PHOENIX,AZ,33.587467499999995,-111.97821950000001,13,4,Maricopa County,0,0
174,1,0,0,2,0,11111 E. SUNFLOWER CT,85132,FLORENCE,AZ,33.1496653,-111.44638049999999,21,4,Pinal County,0,0
175,1,0,0,2,0,11111 N SCOTTSDALE RD #220,85254,SCOTTSDALE,AZ,33.5868748,-111.92477009999999,13,4,Maricopa County,0,0
176,1,0,0,2,0,"11111 N SCOTTSDALE RD,SUITE 120",85254,SCOTTSDALE,AZ,33.5868748,-111.92477009999999,13,4,Maricopa County,0,0
177,0,0,1,0,0,11111 N. SCOTTSDALE RD STE 130,85254,SCOTTSDALE,AZ,33.5868748,-111.92477009999999,13,4,Maricopa County,0,0
178,1,0,0,2,0,"11111 N. SCOTTSDALE RD., STE 101",85254,SCOTTSDALE,AZ,33.5868748,-111.92477009999999,13,4,Maricopa County,0,0
179,1,0,0,2,0,11115 N LACANADA #101,85737,ORO VALLEY,AZ,32.40848995,-110.9957523,19,4,Pima County,0,0
180,1,0,0,2,0,11122 E. GREENWAY RD.,85255,SCOTTSDALE,AZ,33.628638200000005,-111.84091740000001,13,4,Maricopa County,0,0
181,1,0,0,2,0,"11126 W. WISCONSIN AVE., STE 1",85363,YOUNGTOWN,AZ,33.603520200000006,-112.29998020000001,13,4,Maricopa County,0,0
182,1,0,0,2,0,1113 S. SIGNAL BUTTE RD  #101,85208,MESA,AZ,33.395219899999994,-111.5977237,13,4,Maricopa County,0,0
183,1,0,0,2,0,"1113 S. SIGNAL BUTTE RD,SUITE 101",85208,MESA,AZ,33.395219899999994,-111.5977237,13,4,Maricopa County,0,0
184,0,0,1,0,0,11130 N TATUM BLVD #103,85028,PHOENIX,AZ,33.5878879,-111.978334,13,4,Maricopa County,0,0
185,1,0,0,2,0,11169 W. ALABAMA AVE,85363,YOUNGTOWN,AZ,33.59379644,-112.2999893,13,4,Maricopa County,0,0
